,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
72,Rahmanullah Gurbaz,D Madushanka,Ibrahim Zadran,0,0,0,93,90,57,33,1,6,12,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
73,Rahmanullah Gurbaz,D Madushanka,Ibrahim Zadran,1,0,1,94,89,58,34,1,7,12,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
74,Ibrahim Zadran,D Madushanka,Rahmanullah Gurbaz,1,0,1,95,88,21,25,1,8,12,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
75,Ibrahim Zadran,MD Shanaka,Rahmanullah Gurbaz,1,0,1,96,87,22,26,1,1,13,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
76,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,4,0,4,100,83,62,35,1,2,13,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
77,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,0,1,1,101,82,62,36,1,3,13,wides,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
78,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,0,0,0,101,82,62,37,1,4,13,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
79,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,2,0,2,103,80,64,38,1,5,13,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
80,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,6,0,6,109,74,70,39,1,6,13,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
81,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,2,0,2,111,72,72,40,1,7,13,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
