,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
79,JC Buttler,C Karunaratne,EJG Morgan,0,0,0,74,,47,43,3,-,5.0,12,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Medium
80,JC Buttler,C Karunaratne,EJG Morgan,1,0,1,75,,48,44,3,-,6.0,12,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Medium
81,JC Buttler,PWH de Silva,EJG Morgan,1,0,1,76,,49,45,3,-,1.0,13,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Legbreak
82,EJG Morgan,PWH de Silva,JC Buttler,1,0,1,77,,10,21,3,-,2.0,13,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Legbreak
83,JC Buttler,PWH de Silva,EJG Morgan,1,0,1,78,,50,46,3,-,3.0,13,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Legbreak
84,EJG Morgan,PWH de Silva,JC Buttler,4,0,4,82,,14,22,3,-,4.0,13,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Legbreak
85,EJG Morgan,PWH de Silva,JC Buttler,1,0,1,83,,15,23,3,-,5.0,13,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Legbreak
86,JC Buttler,PWH de Silva,EJG Morgan,0,0,0,83,,50,47,3,-,6.0,13,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Legbreak
87,EJG Morgan,CBRLS Kumara,JC Buttler,6,0,6,89,,21,24,3,-,1.0,14,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
88,EJG Morgan,CBRLS Kumara,JC Buttler,0,1,1,90,,21,25,3,legbyes,2.0,14,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
89,JC Buttler,CBRLS Kumara,EJG Morgan,6,0,6,96,,56,48,3,-,3.0,14,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Fast
90,JC Buttler,CBRLS Kumara,EJG Morgan,1,0,1,97,,57,49,3,-,4.0,14,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Fast
91,EJG Morgan,CBRLS Kumara,JC Buttler,0,1,1,98,,21,26,3,wides,4.0,14,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
92,EJG Morgan,CBRLS Kumara,JC Buttler,1,0,1,99,,22,27,3,-,5.0,14,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
93,JC Buttler,CBRLS Kumara,EJG Morgan,6,0,6,105,,63,50,3,-,6.0,14,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Fast
94,EJG Morgan,MD Shanaka,JC Buttler,0,0,0,105,,22,28,3,-,1.0,15,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Medium
