,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
101,RJ Peterson,Harbhajan Singh,JJ van der Wath,1,0,1,104,11,1,2,6,2,-,17,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
102,JJ van der Wath,Harbhajan Singh,RJ Peterson,1,0,1,105,10,14,15,6,3,-,17,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
103,RJ Peterson,Harbhajan Singh,JJ van der Wath,0,0,0,105,10,1,3,6,4,-,17,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
104,RJ Peterson,Harbhajan Singh,JJ van der Wath,2,0,2,107,8,3,4,6,5,-,17,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
105,RJ Peterson,Harbhajan Singh,JJ van der Wath,1,0,1,108,7,4,5,6,6,-,17,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
106,RJ Peterson,IK Pathan,JJ van der Wath,0,0,0,108,7,4,6,6,1,-,18,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
107,RJ Peterson,IK Pathan,JJ van der Wath,0,0,0,108,7,4,7,6,2,-,18,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
108,RJ Peterson,IK Pathan,JJ van der Wath,1,0,1,109,6,5,8,6,3,-,18,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
109,JJ van der Wath,IK Pathan,RJ Peterson,1,0,1,110,5,15,16,6,4,-,18,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
110,RJ Peterson,IK Pathan,JJ van der Wath,1,0,1,111,4,6,9,6,5,-,18,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
111,JJ van der Wath,IK Pathan,RJ Peterson,2,0,2,113,2,17,17,6,6,-,18,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
112,RJ Peterson,Harbhajan Singh,JJ van der Wath,1,0,1,114,1,7,10,6,1,-,19,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
113,JJ van der Wath,Harbhajan Singh,RJ Peterson,1,0,1,115,0,18,18,6,2,-,19,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
114,RJ Peterson,Harbhajan Singh,JJ van der Wath,1,0,1,116,-1,8,11,6,3,-,19,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
