,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
61,MS Chapman,PWH de Silva,DJ Mitchell,2,0,2,83,113,11,10,3,2,0,,,11,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
62,MS Chapman,PWH de Silva,DJ Mitchell,6,0,6,89,107,17,11,3,3,0,,,11,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
63,MS Chapman,PWH de Silva,DJ Mitchell,1,0,1,90,106,18,12,3,4,0,,,11,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
64,DJ Mitchell,PWH de Silva,MS Chapman,2,0,2,92,104,45,31,3,5,0,,,11,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
65,DJ Mitchell,PWH de Silva,MS Chapman,0,0,0,92,104,45,32,3,6,0,,,11,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
66,MS Chapman,D Madushanka,DJ Mitchell,1,0,1,93,103,19,13,3,1,0,,,12,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
67,DJ Mitchell,D Madushanka,MS Chapman,1,1,2,95,101,46,33,3,2,0,,,12,noballs,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
68,MS Chapman,D Madushanka,DJ Mitchell,6,0,6,101,95,25,14,3,3,0,,,12,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
69,MS Chapman,D Madushanka,DJ Mitchell,4,0,4,105,91,29,15,3,4,0,,,12,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
70,MS Chapman,D Madushanka,DJ Mitchell,1,0,1,106,90,30,16,3,5,0,,,12,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
